Name,Accuracy,F1-Score,Recall,Precision,Best Params
LG-RAND,0.7452,0.5576,0.4878,0.6695,"{'solver': 'newton-cg', 'penalty': 'none', 'max_iter': 10}"
LG-GRID,0.7524,0.5624,0.4854,0.6805,"{'max_iter': 10, 'penalty': 'none', 'solver': 'lbfgs'}"
SVM-RAND,0.7476,0.5272,0.429,0.688,"{'max_iter': 500, 'kernel': 'linear', 'degree': 3}"
SVM-GRID,0.7162,0.5436,0.5246,0.5787,"{'degree': 2, 'kernel': 'rbf', 'max_iter': 200}"
DT-RAND,0.6696,0.4993,0.505,0.5012,"{'min_samples_split': 5, 'max_depth': 20, 'criterion': 'entropy'}"
DT-GRID,0.6672,0.5076,0.5247,0.4955,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2}"
RF-RAND,0.7436,0.5511,0.4832,0.664,"{'min_samples_split': 5, 'max_depth': 15, 'criterion': 'gini'}"
RF-GRID,0.7476,0.5536,0.4782,0.6836,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}"
NN-RAND,0.7363,0.5609,0.5124,0.6308,"{'solver': 'adam', 'max_iter': 500, 'learning_rate_init': 0.001, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (10, 10), 'activation': 'relu'}"
NN-GRID,0.7404,0.5921,0.5735,0.6182,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'adam'}"
